Дата;Тепература;Влажность;Скорость ветра;Давление
2013-03-09;25,42;49,71;5,28;1009,28
2013-03-20;29,16;36,33;6,80;1009,5
2013-03-24;27,0;48,75;10,88;1010,25
2013-04-01;25,37;45,5;4,4;1008,5
2013-04-03;26,2;45,6;8,14;1009,0
2013-04-05;25,6;31,0;15,55;1007,0
2013-04-06;25,85;29,85;11,90;1006,14
2013-04-07;29,14;23,28;10,31;1005,0
2013-04-08;28,71;33,85;5,3;1006,0
2013-04-09;30,16;30,5;8,65;1005,33
2013-04-10;30,0;28,0;6,1;1006,71
2013-04-11;30,0;24,2;7,78;1006,4
2013-04-12;28,85;32,57;6,34;1007,57
2013-04-13;30,2;29,2;10,00;1008,4
2013-04-14;28,25;39,37;6,48;1007,0
2013-04-15;28,25;41,37;6,25;1003,87
2013-04-16;32,12;24,62;10,42;1000,0
2013-04-17;29,2;24,2;6,65;1002,2
2013-04-18;30,28;30,28;4,75;1002,85
2013-04-19;28,28;31,28;3,97;1002,57
2013-04-20;30,62;29,0;7,63;1003,37
2013-04-21;27,66;38,66;13,88;1006,83
2013-04-22;27,37;45,37;7,65;1010,0
2013-04-23;28,62;44,12;4,62;1009,87
2013-04-24;30,28;41,71;2,11;1008,57
2013-04-25;31,14;38,28;3,7;1007,71
2013-04-26;29,87;45,87;6,71;1008,37
2013-04-27;31,14;31,42;13,48;1007,0
2013-04-28;30,57;28,0;12,97;1005,42
2013-04-29;32,12;26,37;7,87;1004,87
2013-04-30;31,14;32,0;7,92;1004,85
2013-05-01;31,85;15,85;12,68;1002,83
2013-05-02;29,83;22,16;11,43;1001,2
2013-05-03;28,57;31,57;9,0;999,42
2013-05-04;32,85;31,42;2,91;999,0
2013-05-05;32,62;31,12;3,01;1000,62
2013-05-06;32,75;39,25;3,7;1001,62
2013-05-07;32,87;33,25;7,17;1002,0
2013-05-08;34,5;23,0;9,25;1001,16
2013-05-09;34,28;26,0;8,98;1000,85
2013-05-10;34,0;27,71;9,52;1000,14
2013-05-11;30,75;30,37;14,81;999,87
2013-05-12;29,85;40,14;5,82;1003,71
2013-05-13;31,71;34,0;3,97;1003,57
2013-05-14;32,28;34,28;4,77;1001,57
2013-05-15;33,0;33,0;3,23;999,85
2013-05-16;33,0;34,75;7,17;998,5
2013-05-17;32,83;28,16;9,86;1000,33
2013-05-18;31,4;42,2;12,96;999,0
2013-05-19;35,33;22,33;15,74;999,66
2013-05-20;36,4;24,2;7,4;998,4
2013-05-21;36,0;19,0;11,37;998,66
2013-05-22;36,75;22,12;17,58;998,62
2013-05-23;37,5;23,33;13,56;997,16
2013-05-24;38,42;27,42;11,38;996,42
2013-05-25;38,71;22,42;10,31;998,14
2013-05-26;37,8;21,2;10,74;998,2
2013-05-27;35,85;31,57;8,72;999,14
2013-05-28;35,33;29,0;8,33;1000,16
2013-05-29;34,14;27,85;5,55;999,42
2013-05-30;32,2;28,2;5,56;999,6
2013-05-31;33,62;40,12;10,63;998,71
2013-06-03;35,6;47,0;12,23;999,6
2013-06-04;35,85;42,57;5,02;999,85
2013-06-05;37,16;36,5;9,86;998,0
2013-06-07;34,0;49,25;7,41;998,0
2013-06-09;36,16;40,0;11,41;995,16
2013-06-10;36,62;42,75;8,10;995,12
2013-06-21;34,83;47,33;5,86;995,33
2013-06-22;35,6;39,4;10,74;996,2
2013-09-03;32,75;45,5;14,79;1001,5
2013-09-04;31,71;48,0;14,54;1002,16
2013-09-05;31,66;46,0;13,56;1001,5
2014-04-02;26,75;43,37;7,17;1005,75
2014-04-04;25,85;47,85;11,91;1009,85
2014-04-05;27,37;44,0;9,26;1008,87
2014-04-06;30,12;45,25;6,71;1007,5
2014-04-07;27,25;47,62;12,96;1009,62
2014-04-08;25,75;41,87;12,72;1010,37
2014-04-09;25,75;35,25;12,73;1010,25
2014-04-10;26,37;29,25;12,50;1010,87
2014-04-11;28,14;29,0;10,05;1008,57
2014-04-12;29,12;39,87;5,10;1007,12
2014-04-13;26,87;40,37;15,51;1009,62
2014-04-14;27,62;46,62;5,35;1010,62
2014-04-15;29,0;48,12;2,55;1009,12
2014-04-17;26,37;49,62;9,25;1007,0
2014-04-20;27,0;48,0;4,63;1010,5
2014-04-21;28,0;33,12;8,81;1010,0
2014-04-22;29,37;29,37;12,5;1011,75
2014-04-23;29,12;37,0;6,02;1009,0
2014-04-24;29,37;35,87;7,87;1005,87
2014-04-25;30,62;34,37;8,11;1006,12
2014-04-26;31,5;32,0;8,11;1006,37
2014-04-27;30,62;30,0;8,35;1007,12
2014-04-28;31,5;27,87;10,18;1005,62
2014-04-29;32,12;28,87;8,32;1003,87
2014-04-30;33,25;25,5;5,33;1003,75
2014-05-01;34,87;22,5;9,73;1001,5
2014-05-02;34,37;24,75;6,48;1001,87
2014-05-03;31,75;33,37;6,47;1003,62
2014-05-04;31,87;34,37;5,8;1003,0
2014-05-07;31,75;48,62;1,85;1004,25
2014-05-08;31,37;43,0;10,66;1002,62
2014-05-09;30,5;39,62;6,48;1000,42
2014-05-10;30,0;37,62;7,88;1000,75
2014-05-11;29,62;40,37;7,65;1004,0
2014-05-15;29,5;39,87;11,12;1004,25
2014-05-16;31,12;40,25;9,48;1003,5
2014-05-17;29,87;47,62;7,17;1007,0
2014-05-18;31,5;35,37;13,89;1007,37
2014-05-19;32,37;29,5;11,57;1006,62
2014-05-20;31,12;34,0;7,63;1006,62
2014-05-21;33,0;32,5;9,71;1002,12
2014-05-22;33,25;33,37;11,11;999,5
2014-05-23;34,62;32,75;19,45;1000,0
2014-05-25;31,5;43,25;16,43;1005,5
2014-05-27;31,87;49,75;2,55;1004,75
2014-05-28;33,62;44,5;3,95;1001,25
2014-05-29;35,25;40,12;4,4;999,37
2014-05-30;33,12;44,5;11,58;999,57
2014-05-31;34,62;39,0;6,48;999,62
2014-06-01;32,75;34,25;16,2;1003,25
2014-06-02;32,75;41,37;4,63;1003,25
2014-06-03;34,87;33,62;6,48;1000,0
2014-06-04;35,25;33,12;7,18;998,12
2014-06-05;36,87;26,87;8,56;996,12
2014-06-06;37,5;27,62;10,2;994,87
2014-06-07;38,5;22,75;13,18;994,0
2014-06-08;37,62;26,25;6,72;993,12
2014-06-09;37,87;32,12;6,02;993,12
2014-06-10;37,25;20,87;12,03;994,75
2014-06-11;37,62;23,12;14,81;995,62
2014-06-12;32,87;39,25;24,32;997,0
2014-06-16;36,37;41,37;10,88;995,62
2014-06-17;36,87;42,12;15,96;994,12
2014-06-19;35,75;47,87;10,88;993,25
2014-06-20;38,0;36,12;17,82;991,37
2014-06-21;36,87;40,12;9,73;993,87
2014-06-22;34,5;46,75;4,4;996,37
2014-06-23;32,12;49,75;6,71;996,25
2014-06-24;33,0;46,25;10,18;995,5
2014-06-27;34,75;48,5;9,48;1001,62
2014-06-28;34,87;49,0;5,78;999,37
2014-07-07;34,0;48,75;5,56;998,25
2014-07-08;35,0;39,5;9,72;996,87
2014-07-09;36,0;37,12;13,65;996,5
2014-07-10;36,12;38,75;11,33;996,87
2014-07-11;36,62;38,62;8,78;996,12
2014-08-20;33,25;47,12;8,78;1002,37
2014-08-21;32,5;43,0;10,88;1001,25
2014-08-22;33,0;47,12;8,56;1002,85
2014-08-23;33,12;45,75;9,26;1003,25
2014-08-24;33,12;46,25;11,35;1002,87
2014-08-25;33,87;46,62;7,87;1002,37
2014-08-26;34,12;40,25;9,96;1001,37
2014-08-27;33,85;44,71;8,11;1001,12
2014-09-23;31,0;47,0;30,68;1004,28
2014-09-27;30,5;46,87;8,79;1009,25
2014-09-28;30,25;48,87;7,17;1009,62
2014-09-29;30,5;48,75;7,41;1009,12
2014-10-09;27,62;49,87;3,23;1010,12
2015-04-02;28,71;45,28;10,17;1004,62
2015-04-11;28,25;44,87;8,1;1008,37
2015-04-17;28,12;48,75;8,33;1007,12
2015-04-18;30,12;44,5;5,56;1002,37
2015-04-19;32,12;41,0;4,17;1003,87
2015-04-20;32,87;37,87;7,18;1005,75
2015-04-21;31,75;28,5;11,11;1005,62
2015-04-22;30,75;30,25;11,34;1003,12
2015-04-23;30,75;33,0;8,1;1004,0
2015-04-24;31,12;39,5;2,55;1004,37
2015-04-25;30,5;43,12;12,97;1005,87
2015-04-28;31,0;48,25;12,51;1004,5
2015-04-29;31,25;47,25;9,02;1005,0
2015-04-30;32,62;44,75;15,05;1004,0
2015-05-01;31,25;43,5;5,33;1005,87
2015-05-02;30,12;40,25;4,4;1006,25
2015-05-03;31,0;39,25;3,01;1006,62
2015-05-04;30,87;39,25;3,93;1006,62
2015-05-05;32,12;31,12;7,64;1003,87
2015-05-06;34,12;22,0;11,36;1001,87
2015-05-07;35,42;13,42;15,34;1003,57
2015-05-08;34,12;22,37;12,27;1003,25
2015-05-09;35,12;27,0;8,33;1001,62
2015-05-10;35,12;25,0;6,96;1001,37
2015-05-11;34,0;32,62;10,88;1003,62
2015-05-12;33,12;46,0;6,03;1004,87
2015-05-14;29,62;49,62;4,41;1007,25
2015-05-17;33,25;40,37;8,35;1001,12
2015-05-18;35,37;35,75;5,56;1000,0
2015-05-19;31,5;44,0;14,81;1002,12
2015-05-20;33,12;31,62;14,60;1002,0
2015-05-21;35,62;24,62;11,33;1000,37
2015-05-22;36,25;19,5;12,51;998,12
2015-05-23;37,37;21,75;12,72;996,12
2015-05-24;36,0;29,25;5,10;997,37
2015-05-25;37,75;22,25;10,87;996,87
2015-05-26;35,25;26,62;17,12;1001,5
2015-05-27;33,75;20,5;6,71;1001,25
2015-05-28;34,75;29,5;8,33;1000,62
2015-05-29;35,12;27,25;8,12;1001,62
2015-05-30;32,25;38,75;12,26;1003,87
2015-05-31;34,25;25,0;14,58;1001,75
2015-06-01;29,37;41,75;12,51;1003,25
2015-06-02;31,62;39,25;8,57;1003,5
2015-06-04;31,87;48,37;4,86;1004,0
2015-06-05;32,62;39,87;6,01;1003,5
2015-06-06;33,37;39,75;7,86;1001,37
2015-06-07;35,0;36,25;7,17;999,25
2015-06-08;36,5;33,0;6,25;998,87
2015-06-09;37,62;23,87;18,75;998,87
2015-06-10;36,62;32,28;18,04;999,62
2015-06-11;35,62;34,75;18,28;1000,0
2015-06-12;35,87;34,62;12,73;998,5
2015-06-13;31,12;48,12;10,18;998,85
2015-06-17;33,87;49,75;3,25;998,0
2015-06-18;35,12;45,12;3,01;997,62
2015-06-19;35,87;46,75;8,57;996,25
2015-06-20;33,12;48,5;12,97;997,87
2015-06-27;32,62;48,25;14,11;997,12
2015-06-28;34,25;47,5;9,03;1000,28
2015-07-02;33,75;45,87;6,94;1001,12
2015-07-03;33,0;49,0;14,35;999,62
2015-07-05;35,71;47,28;14,01;995,42
2015-09-01;32,12;47,62;15,27;1000,85
2015-09-02;31,87;45,62;12,73;1001,75
2015-09-03;31,62;49,12;10,18;1005,5
2015-09-04;32,0;42,62;11,35;1007,87
2015-09-05;30,87;47,25;7,63;1007,12
2015-09-06;31,25;41,8;7,63;1006,25
2015-09-07;31,5;46,37;9,48;1005,75
2015-09-08;31,62;47,0;11,81;1005,5
2015-09-09;31,0;47,87;10,18;1005,62
2015-09-10;31,25;46,5;8,57;1006,75
2015-09-11;30,75;49,75;6,01;1006,25
2015-09-25;28,5;49,37;8,57;1003,75
2015-09-30;29,0;46,87;8,33;1011,37
2015-10-25;26,37;47,12;5,57;1012,75
2016-03-04;27,31;44,25;6,14;1012,68
2016-03-21;26,62;43,37;12,26;1011,12
2016-03-22;25,06;37,87;22,1;1009,37
2016-03-23;26,2;43,26;10,64;1010,0
2016-03-24;28,13;46,86;3,21;1013,33
2016-03-29;27,12;47,75;7,29;1011,31
2016-03-30;29,57;39,78;7,02;1011,14
2016-03-31;30,0;39,73;4,33;1009,2
2016-04-01;30,57;38,21;12,03;1006,71
2016-04-02;32,31;38,56;5,46;1008,0
2016-04-03;33,31;44,25;2,55;1008,37
2016-04-04;32,81;33,12;8,0;1006,68
2016-04-05;32,31;29,31;9,26;1007,0
2016-04-06;31,37;33,12;3,47;1006,87
2016-04-07;29,93;37,0;10,85;1007,26
2016-04-08;29,26;36,0;4,68;1009,2
2016-04-09;30,73;32,46;12,61;1009,31
2016-04-10;32,25;29,0;5,22;1008,81
2016-04-11;29,8;35,0;16,04;1009,4
2016-04-12;30,2;36,2;19,38;1006,33
2016-04-13;31,75;28,06;18,64;1003,31
2016-04-14;33,12;23,87;10,42;1003,81
2016-04-15;33,62;25,37;9,83;1004,62
2016-04-16;35,68;23,68;11,11;1003,06
2016-04-17;34,66;23,86;9,38;1002,66
2016-04-18;34,62;30,12;7,17;1004,68
2016-04-19;34,0;33,6;4,56;1005,86
2016-04-20;34,06;25,93;14,01;1006,43
2016-04-21;34,0;24,66;15,75;1003,4
2016-04-22;33,25;24,25;8,35;1001,72
2016-04-23;31,91;21,81;19,65;1001,84
2016-04-24;31,31;22,12;10,18;1003,06
2016-04-25;31,75;22,81;6,94;1005,56
2016-04-26;33,43;25,18;3,83;1007,18
2016-04-27;33,12;29,06;4,98;1005,68
2016-04-28;34,15;21,76;11,82;1004,69
2016-04-29;34,07;23,28;9,12;1005,71
2016-04-30;33,06;25,56;5,21;1004,81
2016-05-01;34,68;23,37;8,57;1002,43
2016-05-02;38,0;18,46;9,51;1002,2
2016-05-03;35,5;30,37;6,49;1004,31
2016-05-04;33,71;31,85;10,46;1003,78
2016-05-05;30,6;42,0;11,24;1007,46
2016-05-06;31,43;37,43;8,22;1007,0
2016-05-07;33,31;37,18;4,65;1005,56
2016-05-08;35,13;36,33;7,29;1005,93
2016-05-09;33,53;40,6;18,42;1006,06
2016-05-10;34,0;39,75;10,55;1006,56
2016-05-11;32,5;49,93;7,77;1006,06
2016-05-12;35,37;40,0;5,1;1002,25
2016-05-13;37,29;28,11;8,07;1001,35
2016-05-14;36,56;31,87;4,16;1003,12
2016-05-15;37,25;29,5;4,75;1003,56
2016-05-16;37,21;23,5;9,01;1000,8
2016-05-17;37,5;25,81;9,61;998,93
2016-05-18;37,75;27,62;8,45;997,81
2016-05-19;37,37;40,5;9,38;998,62
2016-05-20;37,4;44,2;8,41;996,93
2016-05-21;36,13;45,4;10,87;995,93
2016-05-22;36,8;44,8;6,55;996,46
2016-05-23;32,21;47,92;14,95;999,57
2016-05-25;33,21;46,60;10,16;997,47
2016-05-26;35,26;44,57;15,17;999,15
2016-05-27;38,27;26,09;15,31;999,95
2016-05-28;36,06;37,25;14,40;999,83
2016-06-01;36,0;42,2;9,13;1002,73
2016-06-02;37,56;35,31;11,93;1002,0
2016-06-03;37,56;40,68;2,78;1002,25
2016-06-04;38,2;42,06;3,20;1001,86
2016-06-06;35,42;45,71;11,0;1001,57
2016-06-08;36,07;44,64;8,48;999,21
2016-06-09;35,73;43,73;9,26;938,06
2016-06-10;36,13;41,86;10,08;998,25
2016-06-11;33,43;49,93;8,81;999,0
2016-06-12;35,5;37,12;9,16;998,81
2016-06-13;36,0;43,31;12,85;998,18
2016-06-15;34,73;48,86;10,51;996,13
2016-06-24;36,43;46,56;7,76;998,31
2016-10-12;29,57;47,28;11,37;1006,25
2016-10-13;29,96;44,0;13,02;1008,33
2016-10-14;29,75;47,87;8,93;1009,12
2016-10-16;28,42;49,85;7,01;1011,85
2016-10-17;28,6;49,24;7,11;1010,56
2016-10-18;28,5;48,45;7,66;1009,45
2016-10-19;28,92;49,18;6,45;1008,55
2016-10-20;29,07;47,73;9,12;1007,53
2016-10-22;29,33;49,48;13,32;1009,37
